1,第十九届新福州人歌手大赛,,O,O,"<正>由福州市文化广电新闻出版局、福州广播电视台主办的新福州人歌手大赛,原名""福州市外来工作者歌手大赛"",自2000年起已连续成功举办19届。活动旨在搭建心灵与艺术的桥梁,用歌声表达心声,引导人们唱出心中的中国梦以及对福州的热爱与期盼。新福州人歌手大赛曾荣获文化部""全国农民工文化服务示范项目""、第十届中国艺术节项目类""群星奖"",是福州市三大群众文化品牌活动之一。为适应人民群众日益提高的精神文化需求,促进公共",唱响新时代,,筑梦新福州,J692,113,1
32,电视剧《远方的家》:“家”的新时代诠释,丁磊,本刊,O,"<正>34集电视剧《远方的家》播出后,获得社会好评,引发关于""中国式亲情""的讨论。作为""老漂三部曲""之一的北京篇,《远方的家》紧扣时代脉搏,极富生活气息,从日常生活传递温情,弘扬中华优秀美德,赋予了""家文化""在新时代所具有的特殊含义。《远方的家》讲述了来自四川的""老漂""宋明媚(刘佳饰)在知天命之年为了儿子而背井离乡,来到北京艰苦创业,在和""北京大爷""富伯恒(梁冠华饰)经历了一系列啼笑皆非的误会后,从相识到相知,最终收获美好爱情",当代电视,2018-12-01,期刊,J905,31-32,2
33,《你迟到的许多年》:历史嬗变中的人性本真,吴洋月,湖南师范大学湖南文理学院,O,"<正>年代情感电视剧《你迟到的许多年》讲述了改革开放时期主人公沐建峰历经商海沉浮、人情冷暖,不忘初心的故事。该剧分为事业与爱情两条线,在事业上,沐建峰不畏艰难、屡败屡战,成功创业,充分体现了改革时代弄潮儿的优秀品格;在爱情上,着重叙述了沐建峰与茉莉、赵益勤间的爱情纠葛,体现了社会变动中的悲欢离合。作为纪念改革开放四十周年的献礼剧,《你迟到的许多年》由严歌苓担任编剧,林柯、黄加力执导,是一部诚意之作。",当代电视,2018-12-01,期刊,J905,41-42,2
34,从《延禧攻略》看古装剧美学追求的嬗变,龚正,福建江夏学院设计与创意学院,O,"<正>2018年,大批古装题材电视剧投入市场,为观众提供了多样的选择。其中,《延禧攻略》自暑期播出后,持续引发观众热议,成为2018年影视作品中不可忽视的重要研究文本。该剧与我国长期形成的古装剧叙事风格、人物性格构造等固定模式不同,女主人公魏璎珞在后宫的生存方法与晋升之路在一定程度上颇有现实指导意义,因此被人称为是一部另类的""职场剧""。《延禧攻略》在人物关系上与1998年播出的《还珠格格》、2011年的《甄",当代电视,2018-12-01,期刊,J905,43-44,2
35,“温州模式”的一面镜子——以“温州人”电视系列剧为例,傅守祥;郑露娜,温州大学,O,"<正>文艺是时代前进的号角,最能代表一个时代的风貌,最能引领一个时代的风气。电视剧《温州一家人》《温州两家人》和正在拍摄中的《温州三家人》全面呈现了温州40年走过的不平凡道路,以艺术的方式总结改革开放中的经验,坚定新时代进一步改革开放""永不停步""的勇气,加快实现温州在新时代的再次飞跃。一、书写时代的温州故事当今中国,正处在坚定汇入现代化潮流并站在世界发展前列、为人类文明进步做出重要贡献的伟大时代。",当代电视,2018-12-01,期刊,J905,4-6,3
36,在中国梦语境下的反腐题材电视剧,倪学礼;赵璐浩,中国传媒大学动画与数字艺术学院,O,"<正>党的十八大以来,以习近平同志为核心的党中央从关系党和国家生死存亡的高度,作出打铁还需自身硬的庄严承诺,以猛药去疴、重典治乱的决心勇气,推动全面从严治党向纵深发展,打虎拍蝇雷霆万钧,正风肃纪驰而不息,形成了反腐败斗争压倒性态势。时代需要反腐题材电视剧对此及时做出审美表现。一、反腐题材电视剧回溯反腐题材影视剧最初是以""反腐小说""为创作蓝本而形成新的影视类型。我国反腐题材电视剧大致经历了",当代电视,2018-12-01,期刊,J905,7-8,2
37,近年来仙侠玄幻剧的文化价值思辨,霍美辰;王方兵,东北师范大学传媒科学学院,O,"<正>回顾近几年,《三生三世十里桃花》《择天记》《青云志》《九州·天空城》《醉玲珑》等仙侠玄幻古装剧先后播出,此类以传统神话、寓言传记为缘起,杂糅了言情、武侠、科幻、魔幻、历史等元素的古装剧成为了影视产品市场热衷的电视剧类型。放眼国际影视市场,""虚幻、架空""类古装剧也具有一定市场,如美剧《权利的游戏》《西部世界》,韩剧《扑通扑通love》《夜行书生》《仁显王后的男人》《千年之爱》,日剧《猫侍》《宫本武",当代电视,2018-12-01,期刊,J905,9-10,2
38,“消费经典”要警惕“亵渎经典”,杜鹃,中国传媒大学,O,"<正>在文本研究中,""经典""的概念存在已久。这一概念也是文化研究中非常重要的研究范畴,常常被用来解释和维护艺术性,或者是一种公认的艺术范式。经典之所以可以经得起时间和历史的洗练,正是因为其将思想、审美、形式融为一体,表达着历史的、文化的、人性的深刻内涵。经典的构筑应该说是政治、经济、文化和社会综合作用的结果。一种文化的经典就代表着有关那种文化的某些深刻的理念。因此,在当下中国社会文化中,强调经",当代电视,2018-12-01,期刊,J905,11-12,2
39,《山城棒棒军》的创作追求,杨洁;路建宁,重庆城市管理职业学院重庆重视传媒有限责任公司,O,"<正>作为改革开放四十周年的展播剧目,电视剧《棒棒的幸福生活》2018年10月在重庆卫视一经播出,就受到了广大观众的青睐。1997年,方言电视剧《山城棒棒军》让""棒棒""这一道山城重庆独特的风景在全国家喻户晓,同类题材电视剧《棒棒的幸福生活》通过表现棒棒们生活的变化,让观众感受到了重庆日新月异的发展。一、""棒棒""语义的形象化阐释""嗨、棒棒!""""来啰、来啰""。方言电视剧《山城棒棒军》中的这句精彩对白,曾经真实地回荡在重庆的大街",当代电视,2018-12-01,期刊,J905,25-26,2
40,担当诠释使命,,沈阳音乐学院戏剧影视学院,O,"<正>摄影语言,作为多结构层的艺术符号,以独特的视觉形式传达给观众摄影者所要表达的特性与元素。它与传统的文学、文字相比,能够原汁原味地还原真实的影像实录,打破了文学交流中出现的语言隔阂,能够给观众带来视觉上的冲击。众多艺术元素以多样的形式融入在摄影中,不仅丰富了摄影语言,也给了观众更多想象的空间。本文以宋业明执导、吴京安、丁柳元领衔主演的人物传记剧《初心》为例,详细论述摄影语言在电视剧文本",忠诚书写奉献——电视剧《初心》摄影语言的艺术表达,李江涛,当代电视,J931,27-28,2
41,“朗诵+”:实现古典优雅与时尚清新的融合,金晶,绍兴广播电视台,O,"<正>朗诵是一门用声音表达作品和朗读者思想感情的艺术。近年来,肇始于央视《朗读者》,朗诵类节目以优质的人文内核、时尚的节目形态,激起一股文艺清流,成为一种文化现象。一、诵读:丰富节目内容、独具艺术魅力朗诵以其口耳相传、绘声绘色的艺术特性,展现了它们的音韵美、节奏美和旋律美。朗诵因其大众性、艺术性、创造性,一直受到大众的喜爱,无论是在专场的朗诵晚会,还是在大型文艺晚会上,朗诵常常与音乐、歌唱、",当代电视,2018-12-01,期刊,G222,53,1
42,文化类节目《经典咏流传》创新路径,贾若;刘芳烨,东北师范大学传媒科学学院,O,"<正>《经典咏流传》是中央电视台综合频道和央视创造传媒联合制作推出的大型音乐文化类节目,节目响应落实十九大报告""推动中华优秀传统文化创造性转化、创新性发展""的精神,用""和诗以歌""的形式将传统诗词经典与现代流行相融合,让经典具有新时代属性,让传统迸发出先锋精神,开创文化节目2.0时代。《经典咏流传》意在唤起大众对于经典文化的关注。为了体现节目受众的大众性,嘉宾阵容全面,除了带有流量性的人气明星王俊凯、王力宏等,还涵盖了主持",当代电视,2018-12-01,期刊,G222,56-57,2
43,浅析电视媒体的美育功能与文化职责,饶建华,成都大学中国-东盟艺术学院美术与设计学院,O,"<正>电视媒体传播范围广、速度快、信息量大,在传达时事政策、引导社会舆论、传播知识、提供娱乐等方面起着重要的作用。电视媒体作为传承文化、传递社会正能量和教育人才的综合视听平台,应积极探索传播内容和传播形式的创新。一、以美育人:坚持电视媒体的正确审美导向2018年8月30日,习近平总书记给中央美术学院8位",当代电视,2018-12-01,期刊,G222,23-24,2
44,电视公开课节目《中国正在说》的文化价值,王嵋,重庆工商职业学院,O,"<正>《中国正在说》是东南卫视推出的一档电视公开课节目,它通过TED演讲与观众互动相结合的方式,客观地分析世界形势、讲述中国故事。该节目延续了时政访谈一贯的严肃风格,由张维为、金灿荣、韩毓海等各界专家担任主讲人,对我国的历史发展与社会风貌做出了全面评述,在践行文化强国方针的同时,也不忘以批判的眼光反思当下。其中,脚底板走出的学问、老百姓眼中的问题以及中国形象的真实呈现,可以说是《中国正在说》的几大",当代电视,2018-12-01,期刊,G222,58-59,2
45,《声临其境》:中国原创综艺节目的“声”机盎然,刘洋,北京师范大学珠海分校艺术与传播学院,O,"<正>目前电视媒体行业中,随着亲子、旅游、音乐、婚姻等类型节目的播出,综艺节目同质化的倾向日渐突出。缺乏原创力、缺少发掘力成为了当前众多综艺节目的束缚,可以说,原创精神成为了综艺节目突破生存瓶颈的关键。《声临其境》作为一档全新的原创声音竞技类节目登陆湖南卫视,并在芒果TV、爱奇艺等多家网络媒体同时上线,一时间吸引了大众眼球,受到了广泛好评和热议。一、新颖独特的主题1.题材新颖,文化氛围浓厚",当代电视,2018-12-01,期刊,G222,60-61,2
46,"《一路书香》:创新读书节目形态,延伸文化空间",戈双峰,呼和浩特职业学院,O,"<正>我国电视读书节目起步于上世纪90年代,为丰富大众精神生活发挥了重要作用,也是大众阅读推广的主要形式之一。随着娱乐时代和消费时代的到来,读书类节目的生存空间被迅速挤占,大批节目纷纷停办。对停办节目进行分析会发现,这些节目形式单一,多由主持人或嘉宾单向性地向观众介绍或评论书目,缺乏互动,因此很难适应当今读者的多元收视需求。在这种情况下,一些读书类节目开始突破旧有的窠臼,不断探索新的展现形式。比如",当代电视,2018-12-01,期刊,G222,62-63,2
47,体育电视节目与新媒体的多维互动——以2018年世界杯为背景,赵楠;杨承智,中国传媒大学,O,"<正>2018年俄罗斯世界杯已经落下帷幕。四年一度的世界杯作为全球顶级流量IP,其关注和参与程度都是其他大赛无可比拟的。以往几届世界杯,央视已经逐渐将国内的转播权垄断。然而,今年央视选择将线上的转播权授权给了优酷、咪咕两家互联网平台。作为拥有几十年大赛转播经验的国家级电视媒体,在政策和技术的推动下,央视早已开始布局新媒体矩阵,采用台网融合的方式应对全媒体时代的挑战和冲击。根据优酷、咪咕、央视网报道的相关数据显示,在世界杯揭幕",当代电视,2018-12-01,期刊,G222;G206,13-15,3
48,我国音乐电视节目类型的发展与创新,商文娇,青海师范大学音乐学院,O,"<正>从最初的单一形态到近年来的丰富多彩,我国音乐电视节目类型得到了长足的发展。一、我国音乐电视节目的主要类型我国音乐类电视节目经过多年发展,呈现出内容丰富、播出形式多样、结构形态复杂、节目功能全面等特点。笔者将我国音乐电视节目的主要类型归纳如下:第一类,以介绍国内外音乐发展趋势、动态为主要内容的资讯类电视音乐节目。介绍最新的乐坛发展动态,如歌曲排行榜、新曲推介、音乐人近况等。因其信息功能",当代电视,2018-12-01,期刊,G222,20-21,2
49,“读秒时代”下电视民生新闻的应对策略,王昕璨;高永利,太原理工大学艺术学院,O,"<正>在2018年6月举行的全国党媒视听内容融合发展论坛上,北京大学新闻与传播学院教授陆地在作题为""短视频为什么这么火?""的主题演讲时,针对当前短视频流行趋势作出了自己的论述:新闻已进入了读秒时代。""读秒时代""这一术语是对新闻传播方式和受众信息接受习惯变迁的一种概括,而从""读图时代""到""读秒时代""的转变也必将对传统新闻媒体尤其是电视民生新闻产生深远影响。一、""读秒时代""新闻传播特征""读秒时代""的新闻传播是以移动通讯工具的广泛",当代电视,2018-12-01,期刊,G222,89-90,2
50,媒介融合视域下扬州广电的转型发展,周隽,南京艺术学院电影电视学院,O,"<正>新媒体的快速发展对传统电视媒体的观众群体、内容与形式都产生了影响。在全国城市台收视下滑的形势下,扬州广播电视传媒集团(总台)(以下简称扬州广电)近年来的收视份额却一直保持稳定并有所增长,研究扬州广电现象对全国城市台的发展具有借鉴意义。一、危机与压力:地方电视台的生存困境在新媒体冲击下,中小地方电视台生存环境尤为严峻。截止2017年年底,网络大数据显示,视频网络用户为5.80亿,网络视频用户使用率为75%,手机视频用户5.48",当代电视,2018-12-01,期刊,G229.27,93-94,2
51,《理响新时代》:理论宣传的综艺化创新探索,邵晓晖;许建华,安徽广播电视台,O,"<正>习近平总书记在党的十九大上向世界郑重宣示,中国特色社会主义进入新时代,这是我国发展新的历史方位。新时代,我们如何准确把握理论宣传的新趋势,充分展现科学理论的独特魅力和强大说服力,中共安徽省委宣传部和安徽广播电视台联合制作的《理响新时代》节目,在不断总结和深化认识的基础上,探索新途径、运用新方法,以新策划、新视角、新表达、新传播,开拓了学习",当代电视,2018-12-01,期刊,G222,46-47,2
52,《脱贫致富电视夜校》节目运作方式分析,王坤,海南广播电视总台党委,O,"<正>《脱贫致富电视夜校》是由海南省脱贫致富电视夜校工作推进小组主办,海南省委组织部、海南省委宣传部、海南省扶贫办等多部门协办,海南广播电视大学、海南广播电视总台具体承办的海南首档脱贫致富类大型公益节目。节目以生动活泼的形式,为电视观众尤其是贫困户讲政策、举实例、解难题,提升贫困户脱贫致富的意愿和能力,激发其脱贫的内生动力。节目一周一课,一课一主题,每周一晚20点在海南广播电视总台综合频道、每周",当代电视,2018-12-01,期刊,G222,48-49,2
53,《经典咏流传》曲目传播中的社会文化需求探析,石莉,山西传媒学院,O,"<正>《经典咏流传》是中央电视台综合频道和央视创造传媒有限公司联合制作推出的文化节目。节目以中华经典的诗词文化为表现内容,通过对于包括艺术名家、后起之秀以及普通的社会成员的传唱人的选择,借助电视媒介、网络平台的传播优势,以新颖而又多样化手法和表现形式,对于经典诗词进行了通俗易懂的音乐演绎,有效地凸显了中华诗词文化的悠远意境和家国情怀,为中华优秀传统文化创造性转化和创新性发展提供了可资借鉴的范例。",当代电视,2018-12-01,期刊,G222,54-55,2
54,全媒体时代电视深度报道如何“快人一步”,陈晓凤,泉州广播电视台,O,"<正>全媒体时代互联网新闻凭借随时推送、即时更新优势,让受众能迅速获取资讯。电视新闻受制播流程限制,无法与其竞争速度。但新闻之""快""不应仅停留在推出报道的速度这一浅层概念,如今的受众对传统媒体的需求已悄然改变,不仅要""知其然""、""知其所以然"",更希望""知其未然"",为受众深层次分析事件内涵,预测事件发展方向,方为更有价值之""快""。2018年5月9日,全国很多媒体发布了一则重磅新闻:广州警方成功摧毁""云联惠""特大网络传销犯罪团伙。早",当代电视,2018-12-01,期刊,G222,87-88,2
55,江西卫视探索推进立体化媒体品牌建设,季文,江西广播电视台,O,"<正>随着电视媒体传播的双受众市场格局的形成,融合让电视的内容与新传播技术互动更紧密。有些电视媒体已经开始从受众经济转向用户经济,努力寻求在互联网上形成巨大的再传播和延伸传播价值。电视荧屏热播、网络平台热议、产品商场热卖成为互联网时代传媒经济的突出特征。电视与网络的融合对电视整合营销创新能力提出了新要求。省级卫视的发展面临新挑战,如何成为一个更富经营能力,更受观众欢迎,拥有更多用户和粉丝,具有广泛",当代电视,2018-12-01,期刊,G229.27,91-92,2
56,2018年10月在播综艺栏目网络传播监测数据TOP20,,美兰德公司,O,O,当代电视,2018-12-01,期刊,G229.2,112,1
57,中国传统经典戏曲文化的传承与创新——浅析湖北卫视戏曲文化栏目《戏码头》,卢纲,湖北广播电视台,O,"<正>《戏码头》是湖北广播电视台湖北卫视经过半年精心酝酿和筹划,重磅推出的一档大型戏曲文化栏目。每周日晚间21:20到22点40首播,截止目前为止,共播出""戏码头""""东方之恋""""戏曲的传承""""历史的天空""等四集。《戏码头》紧扣""传承文化品味经典""的主题,完成了中国经典戏曲对电视娱乐综艺的一次成功的逆袭,取得了业内人士和电视观众肯定。笔者拟对《戏码头》的传承与创新进行初步的分析梳理,探寻其成功的原因。",当代电视,2018-12-01,期刊,G222,50-51,2
58,《明星大侦探》:在网络综艺中传播正能量,刘漱羽,湖南广播电视台宣传管理部,O,"<正>明星角色扮演推理综艺节目《明星大侦探》自2016年3月推出以来,已在芒果TV网站连续播出了三季,不仅网络播放总次数实现了跨越式的增长,而且三季的豆瓣评分始终保持在9分左右,深受观众的喜爱。在综艺节目花样繁多、竞争激烈的背景下,《明星大侦探》能在不到两年的时间内接连推出三季,除了明星效应和宣传推广外,节目本身的内涵与社会效益更值得探讨。一、紧扣社会热点一档节目的意义,不仅在于娱乐本身,还在于节目",当代电视,2018-12-01,期刊,G222,52,1
59,河南卫视重磅推出大型文化纪实节目《全家福来了》,,O,O,"<正>一张全家福,定格时代记忆;一张全家福,见证历史变迁。为庆祝改革开放40周年,河南卫视重磅推出的大型文化纪实节目《全家福来了》自2018年10月2日起,每周二晚在河南卫视黄金时段播出,每期50分钟。节目将播至12月25日。13期节目,40组人物,节目通过全家福照片的形式,把镜头对准普通百姓,跟踪记录他们的真实生活,从小家变化看国家发展,让观众真切感受我国改革开放所取得的辉煌成就。",当代电视,2018-12-01,期刊,G222,2,1
60,电视不老,,中国视协艺术评论专业委员会湖南省政府湖南省电视艺术家协会,O,"<正>记得在十多年前的一个业内研讨会上,一位学者煞有介事地预言,电视马上要灭亡!让一些电视媒体的同事着实紧张了一把。但是这么多年过去了,电视仍在我们生活中存在,而且还是那么有滋有味地引领着我们的文化消费。仅以某上星频道为例,从最初单频道几个亿或十几个亿的广告收入,至2015年就已达到年度广告创收100个亿的好成绩,且近几年还是保持着这个水平。还是在几年之前,我每打开某视频平台出产的智能电视机,屏幕上就会",融合更新,盛伯骥,当代电视,G229.2,1,1
61,用文艺力量,,O,O,"<正>10月7日,绍兴市举行了""激荡四十年绍兴再出发""全国诗歌征集颁奖暨名家朗诵晚会,以全国征集诗作、全国朗诵名家、上海爱乐交响乐团的组合,奏响改革开放40周年颂歌。活动由中共绍兴市委宣传部、绍兴广播电视总台联合中国作协《诗刊》社主办,全国作协副主席、著名作家叶辛出席。这次活动共征集全国各地来稿作品近四千件,不乏诗坛名家之作,经中国作协《诗刊》社组织国内权威诗人、诗评家评",为时代放歌,,当代电视,G229.2;I206.7;J124,113,1
62,《小萝莉的猴神大叔》的记者形象分析,马燕;黄鸿业,广西财经学院百色学院,O,"<正>艺术形象建构的基础是创作者对于人物的时代理解和刻意设计,在一部优秀的电影中,某个人物之所以让观众印象深刻,就在于这种理解和设计符合观众的认知和审美取向,以及对这一角色的社会期盼。对于特定职业的人物而言,其角色的成功塑造来源于职业刻画的突破和内含的情感张力,这与作品中的社会背景和意识形态息息相关。而记者职业形象的塑造不仅体现在对电影情节的推动作用,更是对社会现象的见证和记录,并且在一定程度上反映了社会意识的主流和传媒行业的理念。许",当代电视,2018-11-01,期刊,J905,106-107,2
63,电影《寻梦环游记》的爱与亲情,崔含,安阳师范学院文学院,O,"<正>《寻梦环游记》是由迪士尼电影工作室和皮克斯动画工作室联袂打造的一部温馨、奇幻的动画电影,2017年11月上映后,它以温情的风格获得了票房与口碑的双丰收,并夺得第90届奥斯卡金像奖最佳动画长片奖。影片讲述的是小男孩米格尔误入亡灵世界的奇妙故事,其最感人之处在于所展现的爱与亲情。一、动人的爱影片围绕墨西哥亡灵节展开,热爱音乐的小男孩米格尔出生于一个普通的家庭,自从他的高祖父为了追求音乐",当代电视,2018-11-01,期刊,J905,108-109,2
64,融媒体背景下纪实频道的现状及出路,黄彩良,湖南广播电视台金鹰纪实频道,O,"<正>近十年来,中国纪录片取得了长足的进步。《大国崛起》《东方主战场》《舌尖上的中国》《我在故宫修文物》《辉煌中国》《航拍中国》《人间世》《本草中华》等一大批优秀国产纪录片得到观众认可,出现央视纪录、上海纪实、湖南金鹰纪实、北京纪实等多个以播出纪录片为主的专业卫星频道。然而在以明星为看点的娱乐化市场环境下,国内纪实类专业频道还是显得比较冷清和边缘化。和国外成熟的纪录片频道(探索频道、美国国家地理频道)",当代电视,2018-11-01,期刊,J952,86-88,3
65,剪辑在现代传播中要不断提升,张迪,中国戏曲学院,O,"<正>当下,我国影视艺术和影视产业发展迅猛,剧集生产数量与日俱增,新的传播平台和传播方式不断涌现,视频的表现形式繁多,视频功能覆盖广泛;各大出品方、制片方、平台运营商及广告主更是厉兵秣马,抢占先机。人们已经开始打破传统影视专业与非专业的界限,观众摇身一变成为视频制作人,""网红""亦依托多元化的自媒体各显其能。而造成这种现象的两个关键环节便是拍摄剪辑与制作传播的多元化。本文就此试谈数字技术条件下剪辑",当代电视,2018-11-01,期刊,J932,47,1
